"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Volume_Per_Container","Bottles_Per_Unit","Total_vol","Price_L","Value_metric"
"544","CANADA","CANADA","CENTRAL CITY - THE HOBBIT BOLG BELGIAN STYLE TRIPEL","","","",NA,9.5,8.99,0.65,1,0.65,13.83,NA
"545","CANADA","CANADA","RUSSELL - BLOOD ALLEY EXTRA SPECIAL BITTER","","","",NA,5.5,12.5,0.341,6,2.046,6.11,NA
"546","CANADA","CANADA","RUSSELL - EASTERN PROMISES CZECH PILSNER","","","",NA,5,5.95,0.65,1,0.65,9.15,NA
"547","USA","UNITED STATES OF AMERICA","BROOKLYN SORACHI ACE ALE","","","",NA,6.5,9.99,0.75,1,0.75,13.32,NA
"548","CANADA","CANADA","MOLSON - CANADIAN CAN","","","",NA,5,13.99,0.355,8,2.84,4.93,NA
"549","OCEANIA","AUSTRALIA","COOPERS - SPARKLING ALE","","","",NA,5.8,13.15,0.375,6,2.25,5.84,NA
"550","EUROPE","NETHERLANDS","GROLSCH PREMIUM LAGER","","","",NA,5,11.95,0.45,4,1.8,6.64,NA
"551","EUROPE","GERMANY","KONIG LUDWIG WEISSBIER","","","",NA,5.5,3.29,0.5,1,0.5,6.58,NA
"552","EUROPE","UNITED KINGDOM","INNIS & GUNN ORIGINAL OAKED AGED BEER","","","",NA,6.6,2.79,0.33,1,0.33,8.45,NA
"553","CANADA","CANADA","LABATT - BUDWEISER CAN CANUCKS 15 PK","","","",NA,5,22.99,0.355,15,5.325,4.32,NA
"554","USA","MEXICO","CORONA EXTRA CAN","","","",NA,4.6,13.29,0.355,6,2.13,6.24,NA
"555","CANADA","CANADA","PHILLIPS - LONGBOAT CHOCOLATE PORTER","","","",NA,5.5,4.99,0.65,1,0.65,7.68,NA
"556","CANADA","CANADA","PHILLIPS - AMNESIAC DOUBLE IPA","","","",NA,8.5,5.5,0.65,1,0.65,8.46,NA
"557","CANADA","CANADA","STROH CANADA - PABST BLUE RIBBON CAN","","","",NA,4.9,20.25,0.355,15,5.325,3.8,NA
"558","USA","UNITED STATES OF AMERICA","KINGFISHER PREMIUM LAGER","","","",NA,5,13.99,0.355,6,2.13,6.57,NA
"559","EUROPE","BELGIUM","DUVEL","","","",NA,8.5,3.48,0.33,1,0.33,10.55,NA
"560","CANADA","CANADA","HOYNE - HOYNER PILSNER","","","",NA,5.3,5.5,0.65,1,0.65,8.46,NA
"561","CANADA","CANADA","LIGHTHOUSE - TASMAN ALE","","","",NA,4.6,12.5,0.355,6,2.13,5.87,NA
"562","USA","UNITED STATES OF AMERICA","ELYSIAN - LOSER PALE ALE","","","",NA,7,6.99,0.65,1,0.65,10.75,NA
"563","CANADA","CANADA","HELL'S GATE - PALE ALE CAN","","","",NA,5,7.99,0.355,6,2.13,3.75,NA
"564","EUROPE","GERMANY","SCHNEIDER WEISSE ORIGINAL","","","",NA,5.4,3.25,0.5,1,0.5,6.5,NA
"565","CANADA","CANADA","BIG ROCK - ALBERTA GENUINE DRAFT CAN","","","",NA,5,19.9,0.355,15,5.325,3.74,NA
"566","CANADA","CANADA","PHILLIPS - SAMPLER PACK","","","",NA,5,23.85,0.341,12,4.092,5.83,NA
"567","EUROPE","DENMARK","CARLSBERG","","","",NA,5,12.99,0.33,6,1.98,6.56,NA
"568","CANADA","CANADA","COLUMBIA - KOKANEE CAN","","","",NA,5,17.99,0.355,12,4.26,4.22,NA
"569","CANADA","CANADA","BOWEN ISLAND - DEEP 6 LAGER","","","",NA,5,7.99,0.355,6,2.13,3.75,NA
"570","EUROPE","UNITED KINGDOM","NEWCASTLE BROWN ALE","","","",NA,5,13.59,0.33,6,1.98,6.86,NA
"571","CANADA","CANADA","STEAMWORKS - IMPERIAL RED ALE","","","",NA,8.5,6.25,0.65,1,0.65,9.62,NA
"572","CANADA","CANADA","DRIFTWOOD - FARMHAND SAISON","","","",NA,5.5,5.25,0.65,1,0.65,8.08,NA
"573","EUROPE","CZECH REPUBLIC","CZECHVAR","","","",NA,5,2.6,0.5,1,0.5,5.2,NA
"574","CANADA","CANADA","STROH CANADA - OLD MILWAUKEE CAN","","","",NA,5,30.99,0.355,24,8.52,3.64,NA
"575","EUROPE","UNITED KINGDOM","INNIS & GUNN OLOROSO CASK","","","",NA,7.4,4.99,0.33,1,0.33,15.12,NA
"576","EUROPE","GERMANY","BECKS","","","",NA,5,25.49,0.33,12,3.96,6.44,NA
"577","CANADA","CANADA","LABATT - LUCKY LAGER CAN","","","",NA,5,22.29,0.355,15,5.325,4.19,NA
"578","CANADA","CANADA","YUKON - YUKON RED","","","",NA,5.5,12.5,0.341,6,2.046,6.11,NA
"579","CANADA","CANADA","MOLSON - COORS LIGHT CAN","","","",NA,4,13.99,0.355,8,2.84,4.93,NA
"580","CANADA","CANADA","MT BEGBIE - POWERHOUSE PALE ALE","","","",NA,4.8,4.75,0.65,1,0.65,7.31,NA
"581","CANADA","CANADA","HOWE SOUND - RAIL ALE NUT BROWN","","","",NA,5,7.5,1,1,1,7.5,NA
"582","CANADA","CANADA","MOLSON - CANADIAN COLD SHOTS CAN","","","",NA,6,10.19,0.25,8,2,5.09,NA
"583","EUROPE","GERMANY","HOFBRAUHAUS MAIBOCK","","","",NA,7.6,12.95,0.33,6,1.98,6.54,NA
"584","CANADA","CANADA","SLEEMAN - SELECTIONS","","","",NA,5,22.99,0.341,12,4.092,5.62,NA
"585","USA","UNITED STATES OF AMERICA","NORTH COAST - OLD RASPUTIN RUSSIAN IMPERIAL STOUT","STOUT","RUSSIAN IMPERIAL STOUT","75",4.02,9,11.5,0.355,4,1.42,8.1,0.496382608695652
"586","CANADA","CANADA","STEAMWORKS - SAISON","","","",NA,5.5,5.49,0.65,1,0.65,8.45,NA
"587","CANADA","CANADA","UNIBROUE - EPHEMERE CRANBERRY","","","",NA,5.5,6.5,0.75,1,0.75,8.67,NA
"588","CANADA","CANADA","NELSON - AFTER DARK ALE CAN ORGANIC","","","",NA,5,11.95,0.355,6,2.13,5.61,NA
"589","CANADA","CANADA","MT BEGBIE - HIGH COUNTRY KOLSCH CAN","","","",NA,4.5,11.75,0.355,6,2.13,5.52,NA
"590","USA","UNITED STATES OF AMERICA","LAKEFRONT - NEW GRIST GLUTEN FREE","","","",NA,5.1,15.85,0.355,6,2.13,7.44,NA
"591","CANADA","CANADA","MOLSON - OLD STYLE PILSNER","","","",NA,5,22.99,0.341,12,4.092,5.62,NA
"592","CANADA","CANADA","MOLSON - CANADIAN CAN","","","",NA,5,9.39,0.355,6,2.13,4.41,NA
"593","CANADA","CANADA","PACIFIC WESTERN - TRADITIONAL LAGER CAN","","","",NA,5,8.19,0.355,6,2.13,3.85,NA
"594","CANADA","CANADA","MOLSON - COORS LIGHT CAN","","","",NA,4,35.55,0.355,24,8.52,4.17,NA
"595","CANADA","CANADA","COLUMBIA - KOKANEE LIGHT CAN","","","",NA,4,12.99,0.355,6,2.13,6.1,NA
"596","CANADA","CANADA","MOLSON - BLACK ICE CAN","","","",NA,6.1,9.69,0.355,6,2.13,4.55,NA
"597","CANADA","CANADA","RICKARDS RED CAN","","","",NA,5,12.99,0.355,6,2.13,6.1,NA
"598","CANADA","CANADA","PACIFIC WESTERN - CANTERBURY DARK MILD CAN","","","",NA,5,17.99,0.355,12,4.26,4.22,NA
"599","CANADA","CANADA","COAL HARBOUR - 311 HELLES LAGER CAN","","","",NA,5,13.29,0.355,8,2.84,4.68,NA
"600","CANADA","CANADA","WHISTLER - CHEAKAMUS CHAI MAPLE ALE","","","",NA,5,5.75,0.65,1,0.65,8.85,NA
"601","EUROPE","NETHERLANDS","GROLSCH PREMIUM LAGER","","","",NA,5,11.95,1.5,1,1.5,7.97,NA
"602","EUROPE","UNITED KINGDOM","BANKS PARK - SUNBEAM ZESTY BLONDE","","","",NA,4.2,3.5,0.5,1,0.5,7,NA
"603","CANADA","CANADA","CENTRAL CITY - RED RACER BELGIAN WHEAT ALE","","","",NA,5,3.99,0.65,1,0.65,6.14,NA
"604","CANADA","CANADA","CENTRAL CITY - I-5 AMARLLO ALE","","","",NA,5,4.95,0.65,1,0.65,7.62,NA
"605","EUROPE","BELGIUM","VAN DIEST - FRULI STRAWBERRY BEER","SPECIALTY","FRUIT BEER",NA,3.66,4.1,2.55,0.25,1,0.25,10.2,0.358823529411765
"606","CANADA","CANADA","TREE - HOPHEAD IPA","","","",NA,5,12.4,0.33,6,1.98,6.26,NA
"607","USA","UNITED STATES OF AMERICA","DESCHUTES - BLACK BUTTE PORTER","","","",NA,5.2,5.09,0.65,1,0.65,7.83,NA
"608","EUROPE","UNITED KINGDOM","CHARLES WELLS - ULTIMATE BEER INDULGENCE","STOUT","ENGLISH STOUT","25",3.7,5,19.95,0.5,6,3,6.65,0.556390977443609
"609","CANADA","CANADA","PARALLEL 49 - LOST SOULS CHOCOLATE PUMPKIN PORTER","","","",NA,6.5,5,0.65,1,0.65,7.69,NA
"610","CANADA","CANADA","PARALLEL 49 - UGLY SWEATER MILK STOUT","STOUT","MILK STOUT","30",3.66,5,12.5,0.341,6,2.046,6.11,0.5990688
"611","CANADA","CANADA","OLD YALE - PALE ALE CAN","","","",NA,5,12.49,0.355,6,2.13,5.86,NA
"612","USA","UNITED STATES OF AMERICA","KONA BREWING - CASTAWAY IPA","","","",NA,6,14.99,0.355,6,2.13,7.04,NA
"613","EUROPE","UNITED KINGDOM","WORTHINGTON'S - WHITE SHIELD","IPA","ENGLISH IPA",NA,3.36,5.6,3.99,0.5,1,0.5,7.98,0.421052631578947
"614","CANADA","CANADA","RUSSELL - HOP THERAPY SESSION ALE CAN","","","",NA,4.5,12.5,0.355,6,2.13,5.87,NA
"615","CANADA","CANADA","RUSSELL BREWING - WINTER MINGLER","","","",NA,6,12.5,0.341,6,2.046,6.11,NA
"616","CANADA","CANADA","WHISTLER - BIG SKY UNCOMMON LAGER","","","",NA,5,4.75,0.65,1,0.65,7.31,NA
"617","USA","UNITED STATES OF AMERICA","NEW BELGIUM - FOLLY PACK CAN","","","",NA,6,29.99,0.355,12,4.26,7.04,NA
"618","USA","UNITED STATES OF AMERICA","NEW BELGIUM - RAMPANT IMPERIAL IPA","IPA","IMPERIAL IPA",NA,3.92,8.5,6.5,0.65,1,0.65,10,0.392
"619","USA","UNITED STATES OF AMERICA","ROGUE - DEAD GUY ALE","BOCK","MAIBOCK","40",3.72,6.5,8.79,0.65,1,0.65,13.52,0.275085324232082
"620","EUROPE","UNITED KINGDOM","MICKEY'S","MALT","MALT",NA,2.6,5.6,22.79,0.355,12,4.26,5.35,0.486002632733655
"621","USA","UNITED STATES OF AMERICA","ROGUE - HAZELNUT BROWN NECTAR","BROWN ALE","AMERICAN BROWN ALE","33",3.821,5.6,9.99,0.65,1,0.65,15.37,0.248613613613614
"622","USA","UNITED STATES OF AMERICA","BALLAST POINT - VICTORY AT SEA","PORTER","IMPERIAL PORTER","60",4.068,10,13.88,0.65,1,0.65,21.35,0.190504322766571
"623","USA","UNITED STATES OF AMERICA","BALLAST POINT - BLACK MARLIN PORTER","PORTER","AMERICAN PORTER","42",3.73,6,7.59,0.65,1,0.65,11.68,0.319433465085639
